  ON_BOUNDARIES, UNKNOWN
 76  2  2532 2530  3  
 77  2  2535 2532  3  
 78  2  2538 2535  3  
 79  2  2543 2538  3  
 80  2  2546 2543  3  
 81  2  2552 2546  3  
 82  2  2519 2517  3  
 83  2  2517 2513  3  
 84  2  2513 2508  3  
 85  2  2508 2502  3  
 86  2  2502 2494  3  
 87  2  2494 2486  3  
 88  2  2530 2528  5  
 89  2  2528 2527  5  
 90  2  2527 2524  5  
 91  2  2524 2521  5  
 92  2  2521 2519  5  
 93  2  2554 2552  1  
 94  2  2486 2478  6  
 95  2  2556 2554  1  
 96  2  2478 2472  6  
 97  2  2558 2556  1  
 98  2  2472 2460  6  
 99  2  2561 2558  1  
 100  2  2460 2446  6  
 101  2  2564 2561  1  
 102  2  2446 2429  6  
 103  2  2565 2564  1  
 104  2  2429 2412  6  
 105  2  2569 2565  1  
 106  2  2572 2569  1  
 107  2  2390 2362  6  
 108  2  2412 2390  6  
 109  2  2574 2572  1  
 110  2  2362 2328  6  
 111  2  2576 2574  1  
 112  2  2328 2295  6  
 113  2  2579 2576  1  
 114  2  2295 2250  6  
 115  2  2582 2579  1  
 116  2  2250 2197  6  
 117  2  2584 2582  1  
 118  2  2197 2136  6  
 119  2  2588 2584  1  
 120  2  2136 2068  6  
 121  2  2591 2588  1  
 122  2  2600 2599  1  
 123  2  2597 2594  1  
 124  2  2599 2597  1  
 125  2  2594 2591  1  
 126  2  2595 2600  2  
 127  2  2068 2006  6  
 128  2  2006 1961  6  
 129  2  1961 1934  6  
 130  2  1934 1927  6  
 131  2  1927 1163  4  
 132  2  2586 2595  2  
 133  2  1163 325  4  
 134  2  4 7  3  
 135  2  24 8  4  
 136  2  2570 2586  2  
 137  2  324 1164  3  
 138  2  2140 2380  2  
 139  2  325 58  4  
 140  2  2380 2570  2  
 141  2  7 23  3  
 142  2  58 24  4  
 143  2  3 1  4  
 144  2  1 4  3  
 145  2  8 3  4  
 146  2  1982 2140  2  
 147  2  23 57  3  
 148  2  57 324  3  
 149  2  1926 1982  2  
 150  2  1164 1926  3  
  END_ON_BOUNDARIES
